Accession	Protein	MW [kDa]	pI	Rank	Peptides	Scores	SpecCount	SeqCov	Vorkommen	vIa_30min	20a_30min	40a_30min	60a_30min	80a_30min	vIb_120min	20b_120min	40b_120min	60b_120min	80b_120min
gi|195940407	outer membrane protein A [Escherichia coli O157:H7 str. EC4024]	28,7	5,9	91	9	654.8 (M:654.8)	90	52,1	vIa_30min,20a_30min,40a_30min,60a_30min,80a_30min,vIb_120min,20b_120min,40b_120min,60b_120min,80b_120min	6	6	5	6	7	9	11	12	16	12
gi|15800168	ATP-dependent protease ATP-binding subunit [Escherichia coli O157:H7 EDL933]	46,3	5,1	92	11	651.7 (M:651.7)	50	40,1	vIa_30min,20a_30min,40a_30min,60a_30min,80a_30min,vIb_120min,20b_120min,40b_120min,60b_120min,80b_120min	3	3	1	2	2	8	6	7	9	9
gi|170292177	Chain A, Crystal Structure Of E.Coli Histidyl-Trna Synthetase Complexed With A Histidyl-Adenylate Analogue	47,7	5,5	93	12	646.7 (M:646.7)	59	39,7	vIa_30min,20a_30min,40a_30min,60a_30min,80a_30min,vIb_120min,20b_120min,40b_120min,60b_120min,80b_120min	5	6	2	2	4	9	10	9	6	6
gi|162138368	ATP-dependent RNA helicase DeaD [Escherichia coli UTI89]	70,4	9,1	94	10	643.6 (M:643.6)	34	24	vIa_30min,60a_30min,vIb_120min,20b_120min,40b_120min,60b_120min	4			1		8	9	6	6	
gi|15829999	type II citrate synthase [Escherichia coli O157:H7 str. Sakai]	48	6,2	95	12	641.0 (M:641.0)	115	34,4	vIa_30min,20a_30min,40a_30min,60a_30min,80a_30min,vIb_120min,20b_120min,40b_120min,60b_120min,80b_120min	11	11	5	8	8	12	17	15	15	13
gi|4929869	Chain A, Beta-Ketoacyl Carrier Protein Synthase As A Drug Target, Implications From The Crystal Structure Of A Complex With The Inhibitor Cerulenin.	42,9	5,7	96	10	638.6 (M:638.6)	56	42,7	vIa_30min,20a_30min,40a_30min,60a_30min,80a_30min,vIb_120min,20b_120min,40b_120min,60b_120min,80b_120min	6	3	7	3	6	7	8	4	4	8
gi|24113658	bifunctional NADH:ubiquinone oxidoreductase subunit C/D [Shigella flexneri 2a str. 301]	68,7	6	97	11	634.3 (M:634.3)	51	27,8	vIa_30min,20a_30min,40a_30min,80a_30min,vIb_120min,20b_120min,40b_120min,60b_120min,80b_120min	4	3	2		1	11	9	9	10	2
gi|1480375	cat [Escherichia coli]	25,6	5,9	98	10	628.0 (M:628.0)	203	30,1	vIa_30min,20a_30min,40a_30min,60a_30min,80a_30min,vIb_120min,20b_120min,40b_120min,60b_120min,80b_120min	16	15	11	13	14	29	27	28	22	28
gi|157162903	glycerol-3-phosphate dehydrogenase [Escherichia coli HS]	56,7	7,2	99	16	624.1 (M:624.1)	51	43,9	vIa_30min,20a_30min,60a_30min,80a_30min,vIb_120min,20b_120min,40b_120min,60b_120min,80b_120min	4	3		1	1	8	15	8	8	3
gi|6980737	Chain A, Class Ii Fructose-1,6-Bisphosphate Aldolase In Complex With Phosphoglycolohydroxamate	39	5,5	100	11	623.4 (M:623.4)	80	47,8	vIa_30min,20a_30min,40a_30min,60a_30min,80a_30min,vIb_120min,20b_120min,40b_120min,60b_120min,80b_120min	2	6	5	6	6	10	12	10	11	12
gi|15802949	phosphoenolpyruvate-protein phosphotransferase [Escherichia coli O157:H7 EDL933]	63,5	4,6	101	11	612.3 (M:612.3)	56	29,9	vIa_30min,20a_30min,40a_30min,60a_30min,80a_30min,vIb_120min,20b_120min,40b_120min,60b_120min,80b_120min	5	3	2	1	1	12	11	7	7	7
gi|218703286	isoleucyl-tRNA synthetase [Escherichia coli UMN026]	104,2	5,6	102	11	610.4 (M:610.4)	39	17,5	vIa_30min,20a_30min,60a_30min,vIb_120min,20b_120min,40b_120min,60b_120min,80b_120min	2	1		1		11	9	6	8	1
gi|290577	glutamine amidotransferase	66,6	5,4	103	13	609.3 (M:609.3)	56	34,9	vIa_30min,20a_30min,40a_30min,60a_30min,80a_30min,vIb_120min,20b_120min,40b_120min,60b_120min,80b_120min	7	7	2	3	2	9	7	9	7	3
gi|145727	deaD	64,4	6,6	104	11	607.4 (M:607.4)	30	25,6	vIa_30min,20a_30min,60a_30min,vIb_120min,20b_120min,40b_120min,60b_120min	3	1		1		6	8	6	5	
gi|15803790	acetyl-CoA carboxylase biotin carboxylase subunit [Escherichia coli O157:H7 EDL933]	49,2	6,7	105	12	607.1 (M:607.1)	55	33,3	vIa_30min,20a_30min,40a_30min,60a_30min,80a_30min,vIb_120min,20b_120min,40b_120min,60b_120min,80b_120min	5	6	3	2	2	9	10	5	6	7
gi|20149796	Chain A, E.Coli Cofactor-Dependent Phosphoglycerate Mutase Complexed With Vanadate	28,4	5,8	106	11	592.0 (M:592.0)	81	55,4	vIa_30min,20a_30min,40a_30min,60a_30min,80a_30min,vIb_120min,20b_120min,40b_120min,60b_120min,80b_120min	7	6	6	6	5	11	12	7	11	10
gi|168761262	acetate kinase [Escherichia coli O157:H7 str. EC4501]	43,3	6	107	9	591.5 (M:591.5)	79	43	vIa_30min,20a_30min,40a_30min,60a_30min,80a_30min,vIb_120min,20b_120min,40b_120min,60b_120min,80b_120min	5	7	4	3	4	17	12	11	8	8
gi|218699949	"oligopeptide transporter subunit ; periplasmic-binding component of ABC superfamily [Escherichia coli IAI39]"	60,9	5,9	108	13	570.8 (M:570.8)	61	41,4	vIa_30min,20a_30min,40a_30min,60a_30min,80a_30min,vIb_120min,20b_120min,40b_120min,60b_120min,80b_120min	5	2	3	1	4	11	7	10	10	8
gi|15802267	pyruvate kinase [Escherichia coli O157:H7 EDL933]	51,2	6,5	109	11	557.0 (M:557.0)	57	32,6	vIa_30min,20a_30min,40a_30min,60a_30min,80a_30min,vIb_120min,20b_120min,40b_120min,60b_120min,80b_120min	5	5	5	2	3	7	10	5	7	8
gi|116667413	Chain D, Structure Of The 30s Subunit Of A Pre-Translocational E. Coli Ribosome Obtained By Fitting Atomic Models For Rna And Protein Components Into Cryo-Em Map Emd-1056	23,3	10,5	110	10	546.0 (M:546.0)	56	52,9	vIa_30min,20a_30min,40a_30min,60a_30min,80a_30min,vIb_120min,20b_120min,40b_120min,60b_120min,80b_120min	6	3	2	8	5	4	3	3	13	9
gi|46015341	Chain A, The Structure Of Betaketoacyl-[acp] Reductase Y151f Mutant In Complex With Nadph Fragment	25,5	7,7	111	8	540.6 (M:540.6)	60	50,8	vIa_30min,20a_30min,40a_30min,60a_30min,80a_30min,vIb_120min,20b_120min,40b_120min,60b_120min,80b_120min	3	5	6	1	5	11	8	7	5	9
gi|218693567	preprotein translocase subunit, ATPase [Escherichia coli 55989]	101,9	5,3	112	9	534.2 (M:534.2)	22	16,4	20a_30min,40a_30min,60a_30min,80a_30min,vIb_120min,20b_120min,40b_120min,60b_120min,80b_120min		1	1	1	1	5	4	2	5	2
gi|110804692	putative ATP-binding protein in pho regulon [Shigella flexneri 5 str. 8401]	39	5,6	113	7	531.4 (M:531.4)	31	32,7	vIa_30min,20a_30min,40a_30min,60a_30min,80a_30min,vIb_120min,20b_120min,40b_120min,60b_120min,80b_120min	1	2	1	1	2	3	6	4	5	6
gi|42543411	Chain A, Crystal Structure Of Fkpa From Escherichia Coli	26,2	7,2	114	8	519.8 (M:519.8)	58	52,7	vIa_30min,20a_30min,40a_30min,60a_30min,80a_30min,vIb_120min,20b_120min,40b_120min,60b_120min,80b_120min	5	7	4	3	3	5	9	7	7	8
gi|33357880	Chain C, Real Space Refined Coordinates Of The 30s Subunit Fitted Into The Low Resolution Cryo-Em Map Of The Ef-G.Gtp State Of E. Coli 70s Ribosome	25,8	10,7	115	8	518.1 (M:518.1)	43	49,1	vIa_30min,20a_30min,60a_30min,80a_30min,vIb_120min,20b_120min,40b_120min,60b_120min,80b_120min	2	1		6	5	3	2	3	10	11
gi|163931071	Chain C, Beta-Ketoacyl-Acp Synthase I (Kas) From E. Coli, Apo Structure After Soak In Peg Solution	42,5	5,2	116	8	507.3 (M:507.3)	40	27,4	vIa_30min,20a_30min,40a_30min,60a_30min,80a_30min,vIb_120min,20b_120min,40b_120min,60b_120min,80b_120min	2	4	3	2	4	4	7	6	3	5
gi|218706408	glycine decarboxylase, PLP-dependent, subunit (protein P) of glycine cleavage complex [Escherichia coli UMN026]	104,2	5,6	117	11	507.3 (M:507.3)	28	21,1	vIa_30min,vIb_120min,20b_120min,40b_120min,60b_120min,80b_120min	2					6	7	5	7	1
gi|26251066	FtsH protease regulator HflK [Escherichia coli CFT073]	45,5	5,8	118	10	507.2 (M:507.2)	36	32,2	vIa_30min,20a_30min,40a_30min,60a_30min,80a_30min,vIb_120min,20b_120min,40b_120min,60b_120min,80b_120min	4	3	3	2	1	4	6	7	5	1
gi|157835426	Chain A, C123as Mutant Of E. Coli Succinyl-Coa Synthetase	29,6	6,4	119	10	501.8 (M:501.8)	80	39,9	vIa_30min,20a_30min,40a_30min,60a_30min,80a_30min,vIb_120min,20b_120min,40b_120min,60b_120min,80b_120min	5	9	4	6	7	6	7	9	14	13
gi|191167385	phosphopentomutase [Escherichia coli B7A]	44,3	5	120	9	497.0 (M:497.0)	52	26,5	vIa_30min,20a_30min,40a_30min,60a_30min,80a_30min,vIb_120min,20b_120min,40b_120min,60b_120min,80b_120min	5	3	4	2	1	8	8	7	6	8
gi|194435983	glycerophosphoryl diester phosphodiesterase GlpQ [Escherichia coli 101-1]	40,8	5,3	121	9	492.5 (M:492.5)	25	40,2	vIa_30min,20a_30min,80a_30min,vIb_120min,20b_120min,40b_120min,60b_120min,80b_120min	1	1			1	2	6	4	7	3
gi|16762133	rod shape-determining protein [Salmonella enterica subsp. enterica serovar Typhi str. CT18]	36,9	5	122	9	488.0 (M:488.0)	31	34,3	vIa_30min,20a_30min,40a_30min,80a_30min,vIb_120min,20b_120min,40b_120min,60b_120min,80b_120min	3	2	2		1	4	6	4	5	4
gi|15830966	ribose-phosphate pyrophosphokinase [Escherichia coli O157:H7 str. Sakai]	34,2	5,1	123	7	487.8 (M:487.8)	52	31,1	vIa_30min,20a_30min,40a_30min,60a_30min,80a_30min,vIb_120min,20b_120min,40b_120min,60b_120min,80b_120min	3	4	2	4	3	6	7	10	6	7
gi|15801467	bifunctional acetaldehyde-CoA/alcohol dehydrogenase [Escherichia coli O157:H7 EDL933]	96	6,3	124	11	486.9 (M:486.9)	16	17,3	vIb_120min,20b_120min,40b_120min,60b_120min,80b_120min						5	2	3	5	1
gi|26246932	phosphoserine aminotransferase [Escherichia coli CFT073]	39,7	5,3	125	10	479.1 (M:479.1)	46	40,1	vIa_30min,20a_30min,40a_30min,80a_30min,vIb_120min,20b_120min,40b_120min,60b_120min,80b_120min	3	3	2		1	11	8	7	5	6
gi|15830232	seryl-tRNA synthetase [Escherichia coli O157:H7 str. Sakai]	48,4	5,2	126	13	477.4 (M:477.4)	55	44,7	vIa_30min,20a_30min,40a_30min,60a_30min,80a_30min,vIb_120min,20b_120min,40b_120min,60b_120min,80b_120min	4	2	2	3	2	9	9	9	9	6
gi|3047405	tyrosine phosphorylated protein A [Escherichia coli]	65,1	5	127	8	476.2 (M:476.2)	44	18,9	vIa_30min,20a_30min,40a_30min,60a_30min,80a_30min,vIb_120min,20b_120min,40b_120min,60b_120min,80b_120min	5	5	2	3	2	6	6	5	5	5
gi|26106818	6,7-dimethyl-8-ribityllumazine synthase [Escherichia coli CFT073]	19,8	10	128	6	474.6 (M:474.6)	47	45,7	vIa_30min,20a_30min,40a_30min,60a_30min,80a_30min,vIb_120min,20b_120min,40b_120min,60b_120min,80b_120min	1	3	2	2	1	7	10	9	4	8
gi|15800374	hypothetical protein Z0810 [Escherichia coli O157:H7 EDL933]	53,5	5,1	129	8	467.9 (M:467.9)	18	28,8	vIa_30min,20a_30min,80a_30min,vIb_120min,20b_120min,40b_120min,60b_120min,80b_120min	3	2			1	2	3	3	2	2
gi|145698288	uridine 5'-(beta-1-threo-pentapyranosyl-4-ulose diphosphate) aminotransferase, PLP-dependent [Escherichia coli str. K-12 substr. MG1655]	41,6	6,4	130	8	467.8 (M:467.8)	34	34,3	vIa_30min,20a_30min,40a_30min,60a_30min,vIb_120min,20b_120min,40b_120min,60b_120min,80b_120min	3	2	1	1		6	7	5	3	6
gi|223035	ribosomal protein L10	17,7	9,9	131	8	465.9 (M:465.9)	80	55,2	vIa_30min,20a_30min,40a_30min,60a_30min,80a_30min,vIb_120min,20b_120min,40b_120min,60b_120min,80b_120min	6	6	6	7	7	10	11	9	8	10
gi|1943541	Chain A, Glutamine Binding Protein Open Ligand-Free Structure	24,9	5,9	132	5	460.6 (M:460.6)	28	41,6	vIa_30min,20a_30min,40a_30min,60a_30min,80a_30min,vIb_120min,20b_120min,40b_120min,60b_120min,80b_120min	2	3	2	1	1	4	4	3	3	5
gi|193067713	glutamate-1-semialdehyde-2,1-aminomutase [Escherichia coli E110019]	45,3	4,6	133	7	458.0 (M:458.0)	36	27,5	vIa_30min,20a_30min,40a_30min,60a_30min,80a_30min,vIb_120min,20b_120min,40b_120min,60b_120min,80b_120min	3	3	1	1	1	7	6	5	6	3
gi|37926485	Chain A, Crystal Structure Of A Mutant Of Ribosome Recycling Factor From Escherichia Coli, Arg132gly	20,5	5,6	134	5	454.3 (M:454.3)	56	42,2	vIa_30min,20a_30min,40a_30min,60a_30min,80a_30min,vIb_120min,20b_120min,40b_120min,60b_120min,80b_120min	6	5	5	4	4	5	7	7	7	6
gi|15802741	50S ribosomal protein L25 [Escherichia coli O157:H7 EDL933]	10,7	10	135	6	452.8 (M:452.8)	118	60,6	vIa_30min,20a_30min,40a_30min,60a_30min,80a_30min,vIb_120min,20b_120min,40b_120min,60b_120min,80b_120min	7	13	8	7	8	15	16	8	19	17
gi|41627	unnamed protein product [Escherichia coli]	54,5	5,9	136	11	452.1 (M:452.1)	37	38,9	vIa_30min,20a_30min,80a_30min,vIb_120min,20b_120min,40b_120min,60b_120min,80b_120min	6	4			3	9	6	4	4	1
gi|116667437	Chain C, Structure Of The 50s Subunit Of A Pre-Translocational E. Coli Ribosome Obtained By Fitting Atomic Models For Rna And Protein Components Into Cryo-Em Map Emd-1056	21,8	10,2	137	6	452.1 (M:452.1)	69	39,4	vIa_30min,20a_30min,40a_30min,60a_30min,80a_30min,vIb_120min,20b_120min,40b_120min,60b_120min,80b_120min	7	7	3	4	2	10	11	8	8	9
gi|157163101	2-amino-3-ketobutyrate coenzyme A ligase [Escherichia coli HS]	43	5,7	138	8	451.3 (M:451.3)	38	32,4	vIa_30min,20a_30min,40a_30min,60a_30min,80a_30min,vIb_120min,20b_120min,40b_120min,60b_120min,80b_120min	3	2	4	2	2	4	7	4	6	4
gi|15803765	50S ribosomal protein L13 [Escherichia coli O157:H7 EDL933]	16	10,3	139	9	449.7 (M:449.7)	76	66,9	vIa_30min,20a_30min,40a_30min,60a_30min,80a_30min,vIb_120min,20b_120min,40b_120min,60b_120min,80b_120min	10	7	3	3	4	9	11	8	12	9
gi|1072030	RNA polymerase sigma-subunit	69	4,7	140	11	448.7 (M:448.7)	34	28,2	vIa_30min,20a_30min,40a_30min,60a_30min,80a_30min,vIb_120min,20b_120min,40b_120min,60b_120min,80b_120min	4	3	1	2	1	5	6	3	6	3
gi|91211819	uracil phosphoribosyltransferase [Escherichia coli UTI89]	23,5	5,8	141	7	446.5 (M:446.5)	28	60,8	vIa_30min,20a_30min,40a_30min,60a_30min,80a_30min,vIb_120min,20b_120min,40b_120min,60b_120min,80b_120min	1	1	1	1	1	5	8	4	2	4
gi|16130219	NADH:ubiquinone oxidoreductase, chain F [Escherichia coli str. K-12 substr. MG1655]	49,3	6,5	142	10	445.8 (M:445.8)	34	30,1	vIa_30min,20a_30min,60a_30min,80a_30min,vIb_120min,20b_120min,40b_120min,60b_120min,80b_120min	2	2		1	2	6	6	5	7	3
gi|218555040	1-hydroxy-2-methyl-2-(E)-butenyl 4-diphosphate synthase [Escherichia coli IAI1]	40,6	5,8	143	10	444.0 (M:444.0)	26	35,8	vIa_30min,20a_30min,40a_30min,60a_30min,vIb_120min,20b_120min,40b_120min,60b_120min,80b_120min	1	1	1	1		4	6	7	2	3
gi|15802940	glutamyl-tRNA synthetase [Escherichia coli O157:H7 EDL933]	53,7	5,6	144	8	436.2 (M:436.2)	25	28,5	vIa_30min,20a_30min,40a_30min,80a_30min,vIb_120min,20b_120min,40b_120min,60b_120min,80b_120min	1	1	1		1	4	6	5	4	2
gi|157161347	arginyl-tRNA synthetase [Escherichia coli HS]	64,6	5,3	145	6	435.4 (M:435.4)	22	16,3	20a_30min,vIb_120min,20b_120min,40b_120min,60b_120min,80b_120min		1				6	4	5	2	4
gi|116667416	Chain G, Structure Of The 30s Subunit Of A Pre-Translocational E. Coli Ribosome Obtained By Fitting Atomic Models For Rna And Protein Components Into Cryo-Em Map Emd-1056	15,3	10,3	146	6	435.1 (M:435.1)	73	59,1	vIa_30min,20a_30min,40a_30min,60a_30min,80a_30min,vIb_120min,20b_120min,40b_120min,60b_120min,80b_120min	5	5	5	6	6	9	8	8	12	9
gi|15804423	uridine phosphorylase [Escherichia coli O157:H7 EDL933]	27,1	5,7	147	6	435.0 (M:435.0)	42	32,8	vIa_30min,20a_30min,40a_30min,60a_30min,80a_30min,vIb_120min,20b_120min,40b_120min,60b_120min,80b_120min	7	2	3	1	1	6	4	5	7	6
gi|116667450	Chain Q, Structure Of The 50s Subunit Of A Pre-Translocational E. Coli Ribosome Obtained By Fitting Atomic Models For Rna And Protein Components Into Cryo-Em Map Emd-1056	11,7	10,9	148	6	434.9 (M:434.9)	49	58,5	vIa_30min,20a_30min,40a_30min,60a_30min,80a_30min,vIb_120min,20b_120min,40b_120min,60b_120min,80b_120min	4	3	3	7	4	7	3	2	11	5
gi|640114	Chain A, Structure-Function In E. Coli Iron Superoxide Dismutase: Comparisons With The Manganese Enzyme From T. Thermophilus	21,1	5,5	149	6	430.6 (M:430.6)	66	44,8	vIa_30min,20a_30min,40a_30min,60a_30min,80a_30min,vIb_120min,20b_120min,40b_120min,60b_120min,80b_120min	6	5	6	2	8	8	12	5	6	8
gi|15804293	DNA gyrase subunit B [Escherichia coli O157:H7 EDL933]	89,7	5,7	150	8	428.2 (M:428.2)	28	17,1	vIa_30min,20a_30min,vIb_120min,20b_120min,40b_120min,60b_120min,80b_120min	1	1				8	7	7	3	1
gi|116667441	Chain G, Structure Of The 50s Subunit Of A Pre-Translocational E. Coli Ribosome Obtained By Fitting Atomic Models For Rna And Protein Components Into Cryo-Em Map Emd-1056	14,5	10,3	151	5	427.9 (M:427.9)	46	33,8	vIa_30min,20a_30min,40a_30min,60a_30min,80a_30min,vIb_120min,20b_120min,40b_120min,60b_120min,80b_120min	6	6	2	1	2	7	6	3	7	6
gi|26246629	glutamate and aspartate transporter subunit [Escherichia coli CFT073]	35,9	9,3	152	7	427.2 (M:427.2)	29	31,4	vIa_30min,20a_30min,40a_30min,80a_30min,vIb_120min,20b_120min,40b_120min,60b_120min,80b_120min	2	2	2		2	3	4	6	3	5
gi|15802856	histidine-binding periplasmic protein of high-affinity histidine transport system [Escherichia coli O157:H7 EDL933]	28,5	5,3	153	8	426.4 (M:426.4)	39	39,6	vIa_30min,20a_30min,40a_30min,60a_30min,80a_30min,vIb_120min,20b_120min,40b_120min,60b_120min,80b_120min	4	2	3	1	2	3	4	7	7	6
gi|15802051	tyrosyl-tRNA synthetase [Escherichia coli O157:H7 EDL933]	48	5,4	154	9	423.1 (M:423.1)	38	28,5	vIa_30min,20a_30min,40a_30min,60a_30min,vIb_120min,20b_120min,40b_120min,60b_120min,80b_120min	4	2	1	2		6	6	5	6	6
gi|1314675	glucose-specific component IIA of the PTS system	17,5	4,6	155	6	422.9 (M:422.9)	35	46,6	vIa_30min,20a_30min,40a_30min,60a_30min,80a_30min,vIb_120min,20b_120min,40b_120min,60b_120min,80b_120min	4	5	3	2	3	2	3	2	6	5
gi|194428883	oxidoreductase, zinc-binding dehydrogenase family [Escherichia coli B171]	34,9	5,8	156	7	422.9 (M:422.9)	54	27,3	vIa_30min,20a_30min,40a_30min,60a_30min,80a_30min,vIb_120min,20b_120min,40b_120min,60b_120min,80b_120min	4	4	4	3	3	5	6	6	10	9
gi|157162656	argininosuccinate synthase [Escherichia coli HS]	49,9	5,2	157	8	413.5 (M:413.5)	32	27,3	vIa_30min,20a_30min,40a_30min,60a_30min,80a_30min,vIb_120min,20b_120min,40b_120min,60b_120min,80b_120min	6	4	1	1	1	5	5	4	4	1
gi|15803031	bifunctional GMP synthase/glutamine amidotransferase protein [Escherichia coli O157:H7 EDL933]	58,1	5,2	158	8	413.3 (M:413.3)	28	26,5	vIa_30min,20a_30min,40a_30min,60a_30min,80a_30min,vIb_120min,20b_120min,40b_120min,60b_120min,80b_120min	3	3	1	1	2	4	5	4	2	3
gi|194436183	methionyl tRNA synthetase [Escherichia coli 101-1]	76,2	5,6	159	11	413.2 (M:413.2)	34	26,7	vIa_30min,vIb_120min,20b_120min,40b_120min,60b_120min,80b_120min	3					10	9	7	2	3
gi|194439289	chaperone protein DnaJ [Escherichia coli 101-1]	41	8,7	160	7	412.8 (M:412.8)	41	28,7	vIa_30min,20a_30min,40a_30min,60a_30min,80a_30min,vIb_120min,20b_120min,40b_120min,60b_120min,80b_120min	2	3	5	3	3	5	6	6	4	4
gi|16129805	glucose-6-phosphate dehydrogenase [Escherichia coli str. K-12 substr. MG1655]	55,7	5,4	161	10	412.8 (M:412.8)	24	26,5	vIa_30min,20a_30min,40a_30min,vIb_120min,20b_120min,40b_120min,60b_120min,80b_120min	1	1	1			4	6	7	3	1
gi|188493459	phosphoglucosamine mutase [Escherichia coli 53638]	47,5	5,9	162	9	411.1 (M:411.1)	22	29	vIa_30min,20a_30min,vIb_120min,20b_120min,40b_120min,60b_120min,80b_120min	1	1				7	5	6	1	1
gi|14278249	Chain G, Complex Of GammaEPSILON ATP SYNTHASE FROM E.COLI	25,6	9,3	163	6	406.5 (M:406.5)	20	40,4	vIa_30min,20a_30min,40a_30min,60a_30min,vIb_120min,20b_120min,40b_120min,60b_120min	2	2	1	1		3	4	5	2	
gi|7767017	Chain A, X-Ray Crystal Structure At 2.7 Angstroms Resolution Of Ternary Complex Between The Y65f Mutant Of E-Coli Serine Hydroxymethyltransferase, Glycine And 5-Formyl Tetrahydrofolate	45,3	6	164	6	404.5 (M:404.5)	45	26,4	vIa_30min,20a_30min,40a_30min,60a_30min,80a_30min,vIb_120min,20b_120min,40b_120min,60b_120min,80b_120min	4	4	5	1	2	8	6	6	4	5
gi|218703140	fused putative transporter subunits of ABC superfamily: ATP-binding components [Escherichia coli IAI39]	62,3	5,3	165	11	393.2 (M:393.2)	27	28,3	vIa_30min,20a_30min,40a_30min,80a_30min,vIb_120min,20b_120min,40b_120min,60b_120min,80b_120min	2	2	2		1	6	4	4	3	3
gi|116667422	Chain M, Structure Of The 30s Subunit Of A Pre-Translocational E. Coli Ribosome Obtained By Fitting Atomic Models For Rna And Protein Components Into Cryo-Em Map Emd-1056	12,7	11,4	166	5	390.7 (M:390.7)	27	54,8	vIa_30min,20a_30min,60a_30min,80a_30min,vIb_120min,20b_120min,40b_120min,60b_120min,80b_120min	3	2		1	2	3	3	2	6	5
gi|165761087	Chain A, Glutaminyl-Trna Synthetase Mutant C229r With Bound Analog 5'-O-[n-(L-Glutaminyl)-Sulfamoyl]adenosine	63,9	6,1	167	8	389.9 (M:389.9)	29	20,5	vIa_30min,20a_30min,40a_30min,80a_30min,vIb_120min,20b_120min,40b_120min,60b_120min,80b_120min	2	1	1		1	6	4	5	5	4
gi|147478	CTP synthetase (EC 6.3.4.2)	60,3	5,6	168	8	389.9 (M:389.9)	41	18	vIa_30min,20a_30min,40a_30min,60a_30min,80a_30min,vIb_120min,20b_120min,40b_120min,60b_120min,80b_120min	5	4	2	2	2	5	6	4	6	5
gi|15804552	phosphoenolpyruvate carboxylase [Escherichia coli O157:H7 EDL933]	98,9	5,4	169	7	388.2 (M:388.2)	18	11,2	vIa_30min,20a_30min,vIb_120min,20b_120min,40b_120min	1	1				8	3	5		
gi|157833919	Chain A, Crystal Structure Of Escherichia Coli Thioredoxin Reductase Refined At 2 Angstrom Resolution: Implications For A Large Conformational Change During Catalysis	34	5,2	170	7	380.1 (M:380.1)	20	44,4	vIa_30min,20a_30min,vIb_120min,20b_120min,40b_120min,60b_120min,80b_120min	1	1				4	5	4	3	2
gi|15803763	stringent starvation protein A [Escherichia coli O157:H7 EDL933]	24,3	5,1	171	8	380.0 (M:380.0)	37	48,6	vIa_30min,20a_30min,40a_30min,60a_30min,80a_30min,vIb_120min,20b_120min,40b_120min,60b_120min,80b_120min	2	5	3	1	2	7	4	4	4	5
gi|42543137	Chain A, The Crystal Structure Of Wild Type Penicillin-Binding Protein 5 From E. Coli	39,8	5,6	172	8	376.6 (M:376.6)	22	33,9	vIb_120min,20b_120min,40b_120min,60b_120min,80b_120min						7	4	3	7	1
gi|191169112	septum site-determining protein MinD [Escherichia coli B7A]	29,6	5,2	173	5	375.0 (M:375.0)	37	26,7	vIa_30min,20a_30min,40a_30min,60a_30min,80a_30min,vIb_120min,20b_120min,40b_120min,60b_120min,80b_120min	2	4	3	1	3	4	5	7	4	4
gi|215488635	FKBP-type peptidyl prolyl cis-trans isomerase (rotamase) [Escherichia coli O127:H6 str. E2348/69]	20,6	4,7	174	5	373.3 (M:373.3)	37	41,2	vIa_30min,20a_30min,40a_30min,60a_30min,80a_30min,vIb_120min,20b_120min,40b_120min,60b_120min,80b_120min	3	3	3	2	3	5	6	6	3	3
gi|15800572	putative ATP-binding component of a transport system [Escherichia coli O157:H7 EDL933]	59,8	4,8	175	7	373.0 (M:373.0)	21	21,9	vIa_30min,20a_30min,vIb_120min,20b_120min,40b_120min,60b_120min,80b_120min	1	1				6	6	4	2	1
gi|2781254	Chain A, Structure Of Inorganic Pyrophosphatase Mutant D70n	19,5	5	176	7	371.5 (M:371.5)	38	53,7	vIa_30min,20a_30min,40a_30min,60a_30min,80a_30min,vIb_120min,20b_120min,40b_120min,60b_120min,80b_120min	4	4	2	3	2	5	6	5	4	3
gi|46015035	Chain A, Purine Nucleoside Phosphorylase M64v Mutant	25,8	5,3	177	4	369.3 (M:369.3)	26	33,6	vIa_30min,20a_30min,40a_30min,60a_30min,vIb_120min,20b_120min,40b_120min,60b_120min,80b_120min	2	2	2	3		4	3	3	3	4
gi|2981911	Chain A, Ribonucleotide Reductase E441a Mutant R1 Protein From Escherichia Coli	85,7	5,8	178	7	369.0 (M:369.0)	14	14,8	vIa_30min,vIb_120min,20b_120min,40b_120min,60b_120min	1					7	3	1	2	
gi|15804455	glutamine synthetase [Escherichia coli O157:H7 EDL933]	51,8	5,2	179	7	368.8 (M:368.8)	35	25,2	vIa_30min,20a_30min,40a_30min,60a_30min,80a_30min,vIb_120min,20b_120min,40b_120min,60b_120min,80b_120min	2	1	2	1	2	6	7	7	5	2
gi|147899	extragenic suppressor	29,1	6,1	180	5	368.4 (M:368.4)	33	34,1	vIa_30min,20a_30min,40a_30min,80a_30min,vIb_120min,20b_120min,40b_120min,60b_120min,80b_120min	5	4	4		1	4	4	2	3	6
gi|187609334	Chain A, Crystal Structure Of E. Coli Aminopeptidase N In Complex With Lysine	98,5	5	181	7	368.0 (M:368.0)	18	12	20a_30min,40a_30min,vIb_120min,20b_120min,40b_120min,60b_120min,80b_120min		1	1			4	5	2	4	1
gi|194437642	Fe-S protein assembly chaperone HscA [Escherichia coli 101-1]	65,6	4,9	182	8	367.4 (M:367.4)	24	22,6	vIa_30min,20a_30min,60a_30min,vIb_120min,20b_120min,40b_120min,60b_120min,80b_120min	1	1		1		5	5	6	1	4
